Sample,Site,PlantTaxa,Burn Status,Urbanization,Latitude,Longitude,SoilHorizon,SOM (%),GWC (%),NH4 (ug/g dry soil),NO3 (ug/g dry soil),PO43 (ug/g dry soil)
LOVE-AMBR-AMFb,LOVE,Amphicarpaea_bracteata,None,Urban,35.71716325,-83.49997436,A,5.4794521,30.4761905,6.872941276,3.039598653,4.513903581
LOVE-LACT-AMFb,LOVE,Lactuca_canadensis,None,Urban,35.71716325,-83.49997436,A,5.4794521,30.4761905,6.872941276,3.039598653,4.513903581
LOVE-PAQU-AMFb,LOVE,Parthenocissus_quinquefolia,None,Urban,35.71716325,-83.49997436,A,5.4794521,30.4761905,6.872941276,3.039598653,4.513903581
LOVE-VIOL-AMFb,LOVE,Viola_palmata,None,Urban,35.71716325,-83.49997436,A,5.4794521,30.4761905,6.872941276,3.039598653,4.513903581
LOVE-AMBR-AMFb,LOVE,Amphicarpaea_bracteata,None,Urban,35.71716325,-83.49997436,B,NA,NA,NA,NA,NA
LOVE-LACT-AMFb,LOVE,Lactuca_canadensis,None,Urban,35.71716325,-83.49997436,B,NA,NA,NA,NA,NA
LOVE-PAQU-AMFb,LOVE,Parthenocissus_quinquefolia,None,Urban,35.71716325,-83.49997436,B,NA,NA,NA,NA,NA
LOVE-VIOL-AMFb,LOVE,Viola_palmata,None,Urban,35.71716325,-83.49997436,B,NA,NA,NA,NA,NA
NEON-AMBR-AMFb,NEON,Amphicarpaea_bracteata,Med,Natural,35.68920122,-83.50591398,A,7.1428571,27.7173913,39.99403861,0.926105819,1.091561724
NEON-PAQU-AMFb,NEON,Parthenocissus_quinquefolia,Med,Natural,35.68920122,-83.50591398,A,7.1428571,27.7173913,39.99403861,0.926105819,1.091561724
NEON-PLMA-AMFb,NEON,Phytolacca_americana,Med,Natural,35.68920122,-83.50591398,A,7.1428571,27.7173913,39.99403861,0.926105819,1.091561724
NEON-SMIL-AMFb,NEON,Smilax_glauca,Med,Natural,35.68920122,-83.50591398,A,7.1428571,27.7173913,39.99403861,0.926105819,1.091561724
NEON-VIOL-AMFb,NEON,Viola_palmata,Med,Natural,35.68920122,-83.50591398,A,7.1428571,27.7173913,39.99403861,0.926105819,1.091561724
NEON-AMBR-AMFb,NEON,Amphicarpaea_bracteata,Med,Natural,35.68920122,-83.50591398,B,NA,NA,NA,NA,NA
NEON-PAQU-AMFb,NEON,Parthenocissus_quinquefolia,Med,Natural,35.68920122,-83.50591398,B,NA,NA,NA,NA,NA
NEON-PLMA-AMFb,NEON,Phytolacca_americana,Med,Natural,35.68920122,-83.50591398,B,NA,NA,NA,NA,NA
NEON-SMIL-AMFb,NEON,Smilax_glauca,Med,Natural,35.68920122,-83.50591398,B,NA,NA,NA,NA,NA
NEON-VIOL-AMFb,NEON,Viola_palmata,Med,Natural,35.68920122,-83.50591398,B,NA,NA,NA,NA,NA
NMT-AMBR-AMFb,NMT,Amphicarpaea_bracteata,High,Urban,35.73889327,-83.51946067,A,NA,NA,NA,NA,NA
NMT-LACT-AMFb,NMT,Lactuca_canadensis,High,Urban,35.73889327,-83.51946067,A,NA,NA,NA,NA,NA
NMT-PAQU-AMFb,NMT,Parthenocissus_quinquefolia,High,Urban,35.73889327,-83.51946067,A,NA,NA,NA,NA,NA
NMT-PLMA-AMFb,NMT,Phytolacca_americana,High,Urban,35.73889327,-83.51946067,A,NA,NA,NA,NA,NA
NMT-AMBR-AMFb,NMT,Amphicarpaea_bracteata,High,Urban,35.73889327,-83.51946067,B,3.4904014,22.4627876,8.204825969,0.561072227,5.18062718
NMT-LACT-AMFb,NMT,Lactuca_canadensis,High,Urban,35.73889327,-83.51946067,B,3.4904014,22.4627876,8.204825969,0.561072227,5.18062718
NMT-PAQU-AMFb,NMT,Parthenocissus_quinquefolia,High,Urban,35.73889327,-83.51946067,B,3.4904014,22.4627876,8.204825969,0.561072227,5.18062718
NMT-PLMA-AMFb,NMT,Phytolacca_americana,High,Urban,35.73889327,-83.51946067,B,3.4904014,22.4627876,8.204825969,0.561072227,5.18062718
PL441-AMBR-AMFb,PL441,Amphicarpaea_bracteata,None,Natural,35.70488166,-83.5288278,A,14.5652174,37.414966,37.32444286,2.676957054,4.633717547
PL441-VIOL-AMFb,PL441,Viola_palmata,None,Natural,35.70488166,-83.5288278,A,14.5652174,37.414966,37.32444286,2.676957054,4.633717547
PL441-AMBR-AMFb,PL441,Amphicarpaea_bracteata,None,Natural,35.70488166,-83.5288278,B,NA,NA,NA,NA,NA
PL441-VIOL-AMFb,PL441,Viola_palmata,None,Natural,35.70488166,-83.5288278,B,NA,NA,NA,NA,NA
RGB-KALA-AMFb,RGB,Kalmia_latifolia,Med,Natural,35.68437595,-83.51595127,A,NA,NA,NA,NA,NA
RGB-LACT-AMFb,RGB,Lactuca_canadensis,Med,Natural,35.68437595,-83.51595127,A,NA,NA,NA,NA,NA
RGB-LYQU-AMFb,RGB,Lysimachia_quadrifolia,Med,Natural,35.68437595,-83.51595127,A,NA,NA,NA,NA,NA
RGB-KALA-AMFb,RGB,Kalmia_latifolia,Med,Natural,35.68437595,-83.51595127,B,4.1176471,30.8943089,5.373876317,NA,0.947459684
RGB-LACT-AMFb,RGB,Lactuca_canadensis,Med,Natural,35.68437595,-83.51595127,B,4.1176471,30.8943089,5.373876317,NA,0.947459684
RGB-LYQU-AMFb,RGB,Lysimachia_quadrifolia,Med,Natural,35.68437595,-83.51595127,B,4.1176471,30.8943089,5.373876317,NA,0.947459684
RS441-PAQU-AMFb,RS441,Parthenocissus_quinquefolia,None,Natural,35.70216955,-83.53004164,A,12.6195029,40.4328018,40.5310906,1.398508604,6.853756247
RS441-SMIL-AMFb,RS441,Smilax_glauca,None,Natural,35.70216955,-83.53004164,A,12.6195029,40.4328018,40.5310906,1.398508604,6.853756247
RS441-PAQU-AMFb,RS441,Parthenocissus_quinquefolia,None,Natural,35.70216955,-83.53004164,B,4.5977011,28.0991736,25.1929413,0.517921189,2.228598852
RS441-SMIL-AMFb,RS441,Smilax_glauca,None,Natural,35.70216955,-83.53004164,B,4.5977011,28.0991736,25.1929413,0.517921189,2.228598852
SCM-LACT-AMFb,SCM,Lactuca_canadensis,High,Natural,35.70044504,-83.53550196,A,NA,NA,NA,NA,NA
SCM-PANI-AMFb,SCM,Panicum_miliaceum,High,Natural,35.70044504,-83.53550196,A,NA,NA,NA,NA,NA
SCM-LACT-AMFb,SCM,Lactuca_canadensis,High,Natural,35.70044504,-83.53550196,B,3.8404727,17.3382173,1.116018803,0.376217218,0.703753289
SCM-PANI-AMFb,SCM,Panicum_miliaceum,High,Natural,35.70044504,-83.53550196,B,3.8404727,17.3382173,1.116018803,0.376217218,0.703753289
SKI-AMBR-AMFb,SKI,Amphicarpaea_bracteata,None,Urban,35.70631616,-83.54163839,A,4.7904192,32.2972973,11.81521729,2.294414556,4.995503601
SKI-PAQU-AMFb,SKI,Parthenocissus_quinquefolia,None,Urban,35.70631616,-83.54163839,A,4.7904192,32.2972973,11.81521729,2.294414556,4.995503601
SKI-AMBR-AMFb,SKI,Amphicarpaea_bracteata,None,Urban,35.70631616,-83.54163839,B,0.6589786,17.3024523,8.641185658,1.422064875,0.908399383
SKI-PAQU-AMFb,SKI,Parthenocissus_quinquefolia,None,Urban,35.70631616,-83.54163839,B,0.6589786,17.3024523,8.641185658,1.422064875,0.908399383
TCL-LYQU-AMFb,TCL,Lysimachia_quadrifolia,High,Urban,35.71282125,-83.52975945,A,NA,NA,NA,NA,NA
TCL-PAQU-AMFb,TCL,Parthenocissus_quinquefolia,High,Urban,35.71282125,-83.52975945,A,NA,NA,NA,NA,NA
TCL-PLMA-AMFb,TCL,Phytolacca_americana,High,Urban,35.71282125,-83.52975945,A,NA,NA,NA,NA,NA
TCL-SMIL-AMFb,TCL,Smilax_glauca,High,Urban,35.71282125,-83.52975945,A,NA,NA,NA,NA,NA
TCL-LYQU-AMFb,TCL,Lysimachia_quadrifolia,High,Urban,35.71282125,-83.52975945,B,6.3706564,29.3315143,7.539132427,0.524753551,1.128067928
TCL-PAQU-AMFb,TCL,Parthenocissus_quinquefolia,High,Urban,35.71282125,-83.52975945,B,6.3706564,29.3315143,7.539132427,0.524753551,1.128067928
TCL-PLMA-AMFb,TCL,Phytolacca_americana,High,Urban,35.71282125,-83.52975945,B,6.3706564,29.3315143,7.539132427,0.524753551,1.128067928
TCL-SMIL-AMFb,TCL,Smilax_glauca,High,Urban,35.71282125,-83.52975945,B,6.3706564,29.3315143,7.539132427,0.524753551,1.128067928
WIN-ACER-AMFb,WIN,Acer_saccharum,Med,Urban,35.70658714,-83.52964831,A,27.482679,48.6358244,19.20075946,1.468667799,3.239834955
WIN-AMBR-AMFb,WIN,Amphicarpaea_bracteata,Med,Urban,35.70658714,-83.52964831,A,27.482679,48.6358244,19.20075946,1.468667799,3.239834955
WIN-PAQU-AMFb,WIN,Parthenocissus_quinquefolia,Med,Urban,35.70658714,-83.52964831,A,27.482679,48.6358244,19.20075946,1.468667799,3.239834955
WIN-VIOL-AMFb,WIN,Viola_palmata,Med,Urban,35.70658714,-83.52964831,A,27.482679,48.6358244,19.20075946,1.468667799,3.239834955
WIN-ACER-AMFb,WIN,Acer_saccharum,Med,Urban,35.70658714,-83.52964831,B,5.76,25.8600237,9.221568839,0.756774857,0.724203403
WIN-AMBR-AMFb,WIN,Amphicarpaea_bracteata,Med,Urban,35.70658714,-83.52964831,B,5.76,25.8600237,9.221568839,0.756774857,0.724203403
WIN-PAQU-AMFb,WIN,Parthenocissus_quinquefolia,Med,Urban,35.70658714,-83.52964831,B,5.76,25.8600237,9.221568839,0.756774857,0.724203403
WIN-VIOL-AMFb,WIN,Viola_palmata,Med,Urban,35.70658714,-83.52964831,B,5.76,25.8600237,9.221568839,0.756774857,0.724203403
